"","cluster","mean.jobs10","sd.jobs10","conf.jobs10","n.jobs10","mean.jobs30","sd.jobs30","conf.jobs30","n.jobs30","mean.jobs60","sd.jobs60","conf.jobs60","n.jobs60","mean.population10","sd.population10","conf.population10","n.population10","mean.population30","sd.population30","conf.population30","n.population30","mean.population60","sd.population60","conf.population60","n.population60","mean.bike30","sd.bike30","conf.bike30","n.bike30","p.weekend","conf.weekend","n.weekend","p.casual","conf.casual","n.casual"
"1",1,1.51615384905912,0.498374765854393,0.00511099645422861,36528,0.214606587663208,0.204585972456564,0.00209809615464341,36528,0.0142509308604116,0.0596427048447019,0.000611655472682853,36528,-0.419940594590604,0.687454638150417,0.0070500724730841,36528,0.419341634266889,0.394481696505954,0.00404553900044184,36528,0.137673699993143,0.115952359617277,0.00118912942521751,36528,0.00237797406261391,0.0312953238607101,0.000320943796204877,36528,0.1312144108629,0.00346250329978776,36528,0.175372317126588,0.00389989217197033,36528
"2",2,-1.46741884841671,0.520665313300981,0.00538797330292158,35875,-0.192528094459235,0.221772206217684,0.00229495358324392,35875,-0.0138887890765095,0.0626279457975198,0.000648089456611821,35875,0.473614156614761,0.748433464028644,0.00774497440137396,35875,-0.388836846944231,0.397705531071089,0.00411555509670868,35875,-0.133684131582905,0.120303101069886,0.0012449262131824,35875,-0.00218846387077391,0.0320453832815195,0.000331613543656416,35875,0.130285714285714,0.00348334762450875,35875,0.160306620209059,0.00379661194687445,35875
"3",3,0.310528893738919,0.641588684470418,0.00743588317129007,28601,0.165273086764423,0.262888448515363,0.00304682398171577,28601,0.0296189740169795,0.0678881243384581,0.000786809639131133,28601,1.05250347592196,0.557209308439866,0.00645794325835747,28601,0.296603927097511,0.416827040698402,0.00483094115013307,28601,-0.0103557719627315,0.155227443935832,0.00179905469972179,28601,0.000729632068708982,0.0274934037889625,0.000318642992783728,28601,0.170098947589245,0.00435441114960623,28601,0.216740673403028,0.00477516583901752,28601
"4",4,-0.127010394701022,0.545880256776755,0.00515950841656261,43003,-0.10831483201189,0.250637677123853,0.00236895763965517,43003,-0.0175311272417717,0.0595980876236721,0.000563304554227772,43003,-0.664903772256885,0.662541071510739,0.00626215400234938,43003,-0.174560362712413,0.38221025206223,0.00361254503699347,43003,0.00946020886727585,0.140258287008725,0.0013256823329482,43003,-0.000658935408773592,0.0208083531780071,0.000196674768914827,43003,0.201474315745413,0.00379106284483417,43003,0.279236332348906,0.0042402269316336,43003
